question	answer	video_id	action	class
what is the man wearing black pants doing ?	shooting	shoot05	shoot	0
what is the man wearing black t-shirt doing ?	shooting	shoot05	shoot	0
who is shooting ?	the man wearing black t-shirt	shoot05	shoot	1
who has a gun ?	the man wearing black t-shirt	shoot05	shoot	1
who is lying ?	the man wearing black pants	shoot05	shoot	1
when does the shooting happen ?	daytime	shoot05	shoot	2
does the video happen night-time ?	no	shoot05	shoot	2
does the video happen daytime ?	yes	shoot05	shoot	2
where does the fight happen ?	indoor	shoot05	shoot	3
does the video happen outdoor ?	no	shoot05	shoot	3
does the video happen indoor ?	yes	shoot05	shoot	3
does the video have shoot ?	yes	shoot06	shoot	0
does the video have fight ?	no	shoot06	shoot	0
what is the man wearing white t-shirt doing ?	falling	shoot06	shoot	0
what is the man wearing black t-shirt doing ?	shooting	shoot06	shoot	0
does the video have fall ?	yes	shoot06	shoot	0
who is falling ?	the man wearing white t-shirt	shoot06	shoot	1
who is shooting ?	the man wearing black t-shirt	shoot06	shoot	1
who has a gun ?	the man wearing black t-shirt	shoot06	shoot	1
when does the shooting happen ?	night-time	shoot06	shoot	2
does the video happen daytime ?	no	shoot06	shoot	2
does the video happen night-time ?	yes	shoot06	shoot	2
where does the shooting happen ?	indoor	shoot06	shoot	3
does the video happen indoor ?	yes	shoot06	shoot	3
does the video happen outdoor ?	no	shoot06	shoot	3
does the video have shoot ?	yes	shoot07	shoot	0
does the video have fall ?	no	shoot07	shoot	0
what is the man without clothes doing ?	shooting	shoot07	shoot	0
what is the man wearing blue short pants doing ?	shooting	shoot07	shoot	0
who is shooting?	the man wearing blue short pants	shoot07	shoot	1
who has a gun?	the man wearing blue short pants	shoot07	shoot	1
when does the shooting happen ?	daytime	shoot07	shoot	2
does the video happen night-time ?	no	shoot07	shoot	2
does the video happen daytime ?	yes	shoot07	shoot	2
where does the shooting happen ?	outdoor	shoot07	shoot	3
does the video happen indoor ?	no	shoot07	shoot	3
does the video happen outdoor ?	yes	shoot07	shoot	3
does the video have shoot ?	yes	shoot08	shoot	0
does the video have fall?	no	shoot08	shoot	0
what is the man wearing white t-shirt doing ?	shooting	shoot08	shoot	0
what is the man wearing black pants doing ?	shooting	shoot08	shoot	0
who is shooting ?	the man wearing white t-shirt	shoot08	shoot	1
who has a gun ?	the man wearing black pants	shoot08	shoot	1
when does the shooting happen ?	night-time	shoot08	shoot	2
does the video happen daytime ?	no	shoot08	shoot	2
does the video happen night-time ?	yes	shoot08	shoot	2
where does the shooting happen ?	outdoor	shoot08	shoot	3
does the video happen indoor ?	no	shoot08	shoot	3
does the video happen outdoor ?	yes	shoot08	shoot	3
does the video have shoot ?	yes	shoot09	shoot	0
does the video have fight ?	no	shoot09	shoot	0
when does the shooting happen ?	night-time	shoot09	shoot	2
does the video happen daytime ?	no	shoot09	shoot	2
does the video happen night-time ?	yes	shoot09	shoot	2
where does the shooting happen ?	indoor	shoot09	shoot	3
does the video happen indoor ?	yes	shoot09	shoot	3
does the video happen outdoor ?	no	shoot09	shoot	3
does the video have shoot ?	yes	shoot10	shoot	0
does the video have assault ?	no	shoot10	shoot	0
what is the man wearing white t-shirt doing ?	falling	shoot10	shoot	0
what is the man wearing gray t-shirt doing ?	shooting	shoot10	shoot	0
does the video have fall ?	yes	shoot10	shoot	0
who is falling ?	the man wearing white t-shirt	shoot10	shoot	1
who has a gun ?	the man wearing gray t-shirt	shoot10	shoot	1
when does the shooting happen ?	night-time	shoot10	shoot	2
does the video happen night-time ?	yes	shoot10	shoot	2
does the video happen daytime ?	no	shoot10	shoot	2
where does the shooting happen ?	indoor	shoot10	shoot	3
does the video happen indoor ?	yes	shoot10	shoot	3
does the video happen outdoor ?	no	shoot10	shoot	3
does the video have shoot ?	yes	shoot11	shoot	0
does the video have assault ?	no	shoot11	shoot	0
who has a gun ?	the man standing by a car	shoot11	shoot	1
who is standing by a car ?	the man hold a gun	shoot11	shoot	1
when does the shooting happen ?	night-time	shoot11	shoot	2
does the video happen daytime ?	no	shoot11	shoot	2
does the video happen night-time ?	yes	shoot11	shoot	2
where does the shooting happen ?	outdoor	shoot11	shoot	3
does the video happen indoor ?	no	shoot11	shoot	3
does the video happen outdoor ?	yes	shoot11	shoot	3
does the video have shoot ?	yes	shoot12	shoot	0
does the video have fall ?	no	shoot12	shoot	0
what is the man wearing green t-shirt doing ?	shooted	shoot12	shoot	0
what is the man sitting in a car doing ?	shooting	shoot12	shoot	0
who is shooting ?	the man sitting in a car	shoot12	shoot	1
who has a gun ?	the man sitting in a car	shoot12	shoot	1
when does the shooting happen ?	night-time	shoot12	shoot	2
does the video happen daytime ?	no	shoot12	shoot	2
does the video happen night-time ?	yes	shoot12	shoot	2
where does the shooting happen ?	indoor	shoot12	shoot	3
does the video happen outdoor ?	no	shoot12	shoot	3
does the video happen indoor ?	yes	shoot12	shoot	3
does the video have shoot ?	yes	shoot13	shoot	0
does the video have assault ?	no	shoot13	shoot	0
what is the man wearing red t-shirt doing ?	shooting	shoot13	shoot	0
what is the man wearing white t-shirt doing ?	shooting	shoot13	shoot	0
does the video have fall ?	yes	shoot13	shoot	0
who is shooting ?	the man wearing red t-shirt	shoot13	shoot	1
who has a gun ?	the man wearing red t-shirt	shoot13	shoot	1
who is standing by a wall ?	the man wearing white t-shirt	shoot13	shoot	1
when does the shooting happen ?	daytime	shoot13	shoot	2
does the video happen night-time ?	no	shoot13	shoot	2
does the video happen daytime ?	yes	shoot13	shoot	2
where does the fight happen ?	indoor	shoot13	shoot	3
does the video happen indoor ?	no	shoot13	shoot	3
does the video happen outdoor ?	yes	shoot13	shoot	3
does the video have shoot ?	yes	shoot14	shoot	0
does the video have fight ?	no	shoot14	shoot	0
what is the man wearing white t-shirt doing ?	shooting	shoot14	shoot	0
who is shooting ?	the man wearing white t-shirt	shoot14	shoot	1
who has a gun ?	the man wearing white t-shirt	shoot14	shoot	1
when does the shooting happen ?	night-time	shoot14	shoot	2
does the video happen daytime ?	no	shoot14	shoot	2
does the video happen night-time ?	yes	shoot14	shoot	2
where does the shooting happen ?	outdoor	shoot14	shoot	3
does the video happen indoor ?	no	shoot14	shoot	3
does the video happen outdoor ?	yes	shoot14	shoot	3
